index,id,status,_pos
0,1098,ADM,"array([7.52898887, 8.85524873])"
1,1100,NUR,"array([7.5667028 , 8.84179614])"
2,1105,NUR,"array([7.51130162, 8.7992797 ])"
3,1108,NUR,"array([7.55483786, 8.84961621])"
4,1109,NUR,"array([7.5237974 , 8.82376774])"
5,1114,NUR,"array([7.53833982, 8.83302118])"
6,1115,NUR,"array([7.51994316, 8.83637849])"
7,1116,NUR,"array([7.55855701, 8.775368  ])"
8,1130,MED,"array([7.48980118, 8.84422222])"
9,1142,NUR,"array([7.52754312, 8.7827041 ])"
10,1144,MED,"array([7.50950695, 8.85829253])"
11,1148,MED,"array([7.5011044 , 8.87129726])"
12,1149,NUR,"array([7.52799909, 8.81549247])"
13,1152,MED,"array([7.52540657, 8.88735704])"
14,1157,MED,"array([7.50769242, 8.84964944])"
15,1159,MED,"array([7.51861574, 8.86173976])"
16,1164,NUR,"array([7.52465329, 8.84527904])"
17,1168,MED,"array([7.49814805, 8.88226159])"
18,1179,ADM,"array([7.54170024, 8.81077654])"
19,1181,NUR,"array([7.54110034, 8.84447843])"
20,1190,NUR,"array([7.51013104, 8.82435551])"
21,1191,MED,"array([7.51297485, 8.86943782])"
22,1193,NUR,"array([7.53076998, 8.82712362])"
23,1196,NUR,"array([7.53037032, 8.80845278])"
24,1202,NUR,"array([7.52266665, 8.79544185])"
25,1205,NUR,"array([7.51627253, 8.81958252])"
26,1207,NUR,"array([7.53289679, 8.83992176])"
27,1209,ADM,"array([7.51016745, 8.89463909])"
28,1210,NUR,"array([7.52458247, 8.83290589])"
29,1221,MED,"array([7.49984799, 8.85844272])"
30,1232,ADM,"array([7.55528367, 8.80085516])"
31,1238,NUR,"array([7.60198271, 8.80545372])"
32,1245,NUR,"array([7.53752607, 8.8540078 ])"
33,1246,NUR,"array([7.58567239, 8.82008631])"
34,1260,MED,"array([7.49048504, 8.85578642])"
35,1261,NUR,"array([7.54726526, 8.78964783])"
36,1295,NUR,"array([7.51700183, 8.82968213])"
37,1305,PAT,"array([7.59685037, 8.83583694])"
38,1307,PAT,"array([7.49290059, 8.80988351])"
39,1320,PAT,"array([7.47577869, 8.81069334])"
40,1323,PAT,"array([7.57466824, 8.87213747])"
41,1327,PAT,"array([7.57868807, 8.84999056])"
42,1332,PAT,"array([7.55035905, 8.92731149])"
43,1352,PAT,"array([7.55426818, 8.8262693 ])"
44,1362,PAT,"array([7.51492379, 8.84911361])"
45,1363,PAT,"array([7.53476385, 8.79635979])"
46,1365,PAT,"array([7.51970062, 8.81070897])"
47,1373,PAT,"array([7.47924328, 8.90127022])"
48,1374,PAT,"array([7.54611411, 8.86389375])"
49,1377,PAT,"array([7.53868012, 8.90033161])"
50,1378,PAT,"array([7.53649159, 8.81947876])"
51,1383,PAT,"array([7.54432386, 8.82358281])"
52,1385,PAT,"array([7.47529787, 8.85283329])"
53,1391,PAT,"array([7.55051279, 8.83649785])"
54,1393,PAT,"array([7.5558574 , 8.81305723])"
55,1395,PAT,"array([7.55904853, 8.85944558])"
56,1399,PAT,"array([7.57625695, 8.79821479])"
57,1401,PAT,"array([7.49132793, 8.82203432])"
58,1416,PAT,"array([7.51575418, 8.76843434])"
59,1460,PAT,"array([7.48605752, 8.79766243])"
60,1469,PAT,"array([7.46913785, 8.83961832])"
61,1485,NUR,"array([7.50726741, 8.78634027])"
62,1525,ADM,"array([7.44038798, 8.9240491 ])"
63,1535,ADM,"array([7.43605414, 8.87324593])"
64,1547,PAT,"array([7.48235738, 8.8293043 ])"
65,1613,NUR,"array([7.49390382, 8.78411339])"
66,1625,NUR,"array([7.50608041, 8.81585855])"
67,1629,NUR,"array([7.50095925, 8.82898741])"
68,1658,ADM,"array([7.51084147, 8.83775907])"
69,1660,MED,"array([7.47838083, 8.86351378])"
70,1671,ADM,"array([7.54932165, 8.87907946])"
71,1701,PAT,"array([7.53291993, 8.87252652])"
72,1702,PAT,"array([7.49806613, 8.83912026])"
73,1769,PAT,"array([7.46694805, 8.82763614])"
74,1784,PAT,"array([7.44949506, 8.808683  ])"
