index,id,house,age,sex,_pos
0,1,L,0,M,"array([ 4.69580721, 10.76884925])"
1,2,E,0,M,"array([ 4.62242717, 10.79384127])"
2,3,L,3,F,"array([ 4.64027122, 10.71645113])"
3,4,E,1,M,"array([ 4.61423744, 10.77497469])"
4,5,F,0,F,"array([ 4.59617074, 10.79256925])"
5,6,E,3,M,"array([ 4.72507066, 10.74642874])"
6,7,L,3,F,"array([ 4.68417667, 10.73843863])"
7,8,B,1,F,"array([ 4.66962307, 10.70789578])"
8,9,F,2,M,"array([ 4.65539676, 10.78950709])"
9,10,E,0,M,"array([ 4.62005072, 10.75764245])"
10,11,E,1,F,"array([ 4.58958398, 10.77013677])"
11,12,F,4,F,"array([ 4.54279918, 10.77560582])"
12,13,E,3,F,"array([ 4.59291388, 10.83900951])"
13,14,H,1,M,"array([ 4.65915903, 10.5748059 ])"
14,15,E,3,M,"array([ 4.61570244, 10.71594989])"
15,16,E,1,F,"array([ 4.64350511, 10.81044497])"
16,17,E,3,F,"array([ 4.71589071, 10.83357583])"
17,18,H,0,F,"array([ 4.63584748, 10.6620248 ])"
18,19,H,1,F,"array([ 4.73005517, 10.65920283])"
19,20,E,3,M,"array([ 4.66544144, 10.84818244])"
20,22,E,1,F,"array([ 4.61214324, 10.81452344])"
21,23,E,3,F,"array([ 4.5131064 , 10.73107436])"
22,25,E,1,M,"array([ 4.63442964, 10.77295797])"
23,26,B,3,F,"array([ 4.61508284, 10.69057883])"
24,27,E,1,F,"array([ 4.60030395, 10.74863866])"
25,28,H,1,F,"array([ 4.76709698, 10.66978342])"
26,29,H,2,F,"array([ 4.69108683, 10.61107539])"
27,30,E,3,F,"array([ 4.71071411, 10.7125285 ])"
28,32,B,0,F,"array([ 4.64492874, 10.68150296])"
29,33,H,4,F,"array([ 4.6148153 , 10.60012951])"
30,34,H,4,F,"array([ 4.45573385, 10.69440871])"
31,36,B,0,M,"array([ 4.59009066, 10.69797891])"
32,38,B,4,F,"array([ 4.50696701, 10.77985467])"
33,39,H,0,F,"array([ 4.59594155, 10.63281111])"
34,40,H,3,F,"array([ 4.55878494, 10.66795759])"
35,41,H,1,F,"array([ 4.72820263, 10.62183533])"
36,42,B,0,F,"array([ 4.55855954, 10.71213934])"
37,43,H,1,M,"array([ 4.67059049, 10.6603104 ])"
38,44,H,0,F,"array([ 4.60999014, 10.66537087])"
39,45,H,0,M,"array([ 4.75073812, 10.70540299])"
40,46,H,3,M,"array([ 4.79148118, 10.72684638])"
41,47,B,3,M,"array([ 4.68827673, 10.67913424])"
42,49,H,1,M,"array([ 4.66433778, 10.63041167])"
43,50,B,4,F,"array([ 4.55885738, 10.74335184])"
44,51,H,1,F,"array([ 4.63179886, 10.6303566 ])"
45,56,B,3,F,"array([ 4.55547254, 10.81809399])"
46,58,B,1,F,"array([ 4.65857985, 10.74658083])"
