index,id,department,_pos
0,15,DSE,"array([-5.2624406 , -6.06896819])"
1,17,DMCT,"array([-5.38063824, -5.78654353])"
2,21,DMCT,"array([-5.45248582, -5.83641991])"
3,29,DSE,"array([-5.09281074, -6.09662134])"
4,35,DISQ,"array([-5.1094645 , -5.66177451])"
5,39,DSE,"array([-5.08486122, -6.01101228])"
6,48,DMCT,"array([-5.44595311, -5.77823882])"
7,50,DMCT,"array([-5.28032475, -5.87667884])"
8,56,DSE,"array([-5.21230853, -6.07283479])"
9,63,SRH,"array([-5.3649252 , -6.01927473])"
10,66,DMCT,"array([-5.50494827, -5.79830671])"
11,79,DSE,"array([-5.29659735, -6.01833421])"
12,80,DMCT,"array([-5.21498306, -5.89059005])"
13,87,SFLE,"array([-4.96513727, -5.78267094])"
14,95,DSE,"array([-5.19880811, -6.03204083])"
15,101,DMCT,"array([-5.37580415, -5.73076588])"
16,102,DMCT,"array([-5.33853965, -5.86322473])"
17,105,DMCT,"array([-5.00273847, -5.99084498])"
18,113,DSE,"array([-5.0120068 , -6.03698783])"
19,116,SFLE,"array([-5.29254331, -5.94856862])"
20,118,DMCT,"array([-5.31509979, -5.90801193])"
21,119,DMCT,"array([-5.36538087, -5.91033195])"
22,120,DSE,"array([-5.1200519 , -6.07477977])"
23,122,SRH,"array([-5.40501401, -6.03094263])"
24,123,DSE,"array([-5.24321575, -6.02654829])"
25,131,DISQ,"array([-5.24965611, -5.90285945])"
26,132,DSE,"array([-5.23746139, -6.10260358])"
27,134,DMCT,"array([-5.23841115, -5.79519231])"
28,150,SRH,"array([-5.36080788, -5.97707548])"
29,153,SRH,"array([-5.42753007, -6.09705044])"
30,154,SRH,"array([-5.45793686, -6.02231214])"
31,164,DSE,"array([-5.28951604, -6.11328525])"
32,172,DSE,"array([-5.16719143, -6.16024893])"
33,179,DMCT,"array([-5.39254204, -5.69610977])"
34,181,DSE,"array([-5.08171065, -5.91490478])"
35,184,DISQ,"array([-5.19193228, -5.823586  ])"
36,185,DISQ,"array([-5.03952558, -5.69719871])"
37,194,DSE,"array([-5.13441136, -5.98545439])"
38,196,DSE,"array([-5.20487812, -6.13344783])"
39,205,DSE,"array([-5.17176444, -5.99565946])"
40,209,DMCT,"array([-5.43981732, -5.72333805])"
41,210,DISQ,"array([-5.14422989, -5.51465622])"
42,211,SFLE,"array([-5.104098  , -5.85719693])"
43,213,SFLE,"array([-5.02132326, -5.87368989])"
44,222,DSE,"array([-5.21773176, -5.94931217])"
45,223,DSE,"array([-5.17657008, -6.07519115])"
46,240,DMCT,"array([-5.29232939, -5.73792871])"
47,242,DSE,"array([-4.94674491, -5.93115129])"
48,253,DISQ,"array([-5.25965696, -5.99512088])"
49,255,DISQ,"array([-5.14745969, -5.84449055])"
50,265,DISQ,"array([-5.12213842, -5.77674743])"
51,267,DSE,"array([-5.16427932, -5.95838694])"
52,268,DISQ,"array([-5.16075927, -5.80567022])"
53,271,SRH,"array([-5.41838328, -6.06995458])"
54,272,DSE,"array([-5.05376545, -6.29870993])"
55,273,DISQ,"array([-5.09015727, -5.75813475])"
56,275,DMCT,"array([-5.28929453, -5.82808873])"
57,285,DMCT,"array([-5.31558865, -5.78297606])"
58,311,DSE,"array([-5.2006118, -5.9811187])"
59,335,DMCT,"array([-5.39682234, -5.83513272])"
60,431,DMCT,"array([-5.25088667, -5.74056122])"
61,448,SRH,"array([-5.46098741, -5.95307793])"
62,481,SRH,"array([-5.38864979, -5.99173683])"
63,492,SRH,"array([-5.45738614, -6.07261615])"
64,494,DSE,"array([-5.06608932, -6.05482994])"
65,496,DSE,"array([-5.16197549, -6.03039433])"
66,499,SRH,"array([-5.51845516, -6.02597422])"
67,511,DMCT,"array([-5.32919807, -5.70510655])"
68,513,DSE,"array([-4.93019453, -5.99994425])"
69,533,SRH,"array([-5.42353281, -5.98878411])"
70,601,SRH,"array([-5.39217322, -6.10066449])"
71,603,DSE,"array([-5.28285933, -6.19422982])"
72,662,DSE,"array([-5.126084  , -6.02938499])"
73,709,SRH,"array([-5.35841327, -6.05959825])"
74,743,DISQ,"array([-5.10268545, -5.72164936])"
75,751,DISQ,"array([-5.1942841 , -5.78015628])"
76,762,DMCT,"array([-5.34950715, -5.81676799])"
77,765,DSE,"array([-5.09851849, -5.95568296])"
78,771,DMCT,"array([-5.39761939, -5.88096765])"
79,778,DISQ,"array([-5.15582091, -5.7575739 ])"
80,779,DSE,"array([-5.03628334, -6.1514457 ])"
81,784,DMCT,"array([-5.23262088, -5.67924338])"
82,786,DSE,"array([-5.04373089, -5.9611147 ])"
83,791,DSE,"array([-5.2163815 , -6.28133343])"
84,804,DMCT,"array([-5.25126363, -5.84487795])"
85,819,DSE,"array([-5.10919368, -6.14081243])"
86,826,DISQ,"array([-5.09895163, -5.80790101])"
87,845,DISQ,"array([-5.1677543 , -5.88887432])"
88,875,DMCT,"array([-5.27296261, -5.77816028])"
89,938,DMCT,"array([-5.31482204, -5.63368839])"
90,939,DSE,"array([-5.15489188, -6.12082845])"
91,987,DSE,"array([-5.16545102, -6.23097306])"
